,Unnamed: 0,jogador_id,partida_id,tipo
0,10548,8473908,2011020090,ASSISTENCIA
1,10188,8479318,2018020952,GOL
2,388,8475780,2016030325,GOL
3,9114,8477951,2016021137,ASSISTENCIA
4,8085,8469506,2016020965,ASSISTENCIA
5,2775,8475193,2013020634,GOL
6,5064,8474564,2017020051,GOL
7,1092,8476822,2013021155,ASSISTENCIA
8,8671,8476419,2015020721,GOL
9,12406,8467412,2011020817,ASSISTENCIA
10,9487,8473533,2018020323,ASSISTENCIA
11,714,8471675,2012020212,GOL
12,11716,8467967,2011021132,ASSISTENCIA
13,1319,8462129,2012020692,ASSISTENCIA
14,3674,8473604,2014020689,GOL
15,2254,8474715,2013020266,GOL
16,6546,8477901,2016020005,ASSISTENCIA
17,9154,8480012,2018020003,GOL
18,9082,8475184,2017020530,ASSISTENCIA
19,12727,8474579,2011020646,ASSISTENCIA
20,485,8467514,2013030111,GOL
21,1077,8470614,2013021163,ASSISTENCIA
22,9898,8473473,2018020710,GOL
23,9088,8475151,2017020530,ASSISTENCIA
24,12818,8468535,2011020766,ASSISTENCIA
25,13056,8471683,2011020883,GOL
26,872,8467096,2012020310,GOL
27,10680,8469470,2010020464,ASSISTENCIA
28,4459,8467967,2014020053,ASSISTENCIA
29,5862,8476461,2015021127,GOL
30,5920,8470621,2015021052,ASSISTENCIA
31,6723,8478402,2016021074,ASSISTENCIA
32,9807,8478402,2018020620,GOL
33,1362,8473564,2012020608,ASSISTENCIA
34,5682,8469623,2015020761,ASSISTENCIA
35,10749,8470920,2010020935,GOL
36,12185,8469521,2010020573,GOL
37,13535,8465166,2011020019,GOL
38,5067,8471716,2015020014,GOL
39,8847,8468085,2015020307,GOL
40,11307,8468518,2011020254,ASSISTENCIA
41,7647,8477952,2015020363,ASSISTENCIA
42,9380,8470638,2018020245,GOL
43,11177,8457063,2010020926,ASSISTENCIA
44,4096,8470180,2014020587,ASSISTENCIA
45,1121,8473512,2013020474,ASSISTENCIA
46,2370,8469707,2013020884,GOL
47,12364,8470039,2011020295,GOL
48,9182,8475462,2018020014,ASSISTENCIA
49,11132,8475171,2011020608,GOL
50,5060,8476453,2017020051,GOL
51,4391,8470187,2014020125,ASSISTENCIA
52,8449,8475462,2017020859,GOL
53,1744,8470647,2013020762,GOL
54,5836,8477503,2017020988,ASSISTENCIA
55,8905,8475692,2015020455,GOL
56,10748,8472355,2010020935,ASSISTENCIA
57,6543,8471338,2016020005,GOL
58,12934,8459444,2010020295,ASSISTENCIA
59,10549,8470617,2011020090,ASSISTENCIA
60,9484,8475907,2018020323,GOL
61,7653,8476871,2015020724,ASSISTENCIA
62,6781,8476448,2015020634,GOL
63,3516,8471956,2014020767,GOL
64,2673,8470595,2012020240,ASSISTENCIA
65,1936,8470309,2012020370,ASSISTENCIA
66,9253,8470600,2018020060,ASSISTENCIA
67,7666,8474600,2017020922,ASSISTENCIA
68,2637,8475462,2013020102,ASSISTENCIA
69,1325,8471214,2013021157,GOL
70,7070,8475745,2017020674,ASSISTENCIA
71,11757,8470162,2011021013,ASSISTENCIA
72,13455,8468927,2011020747,ASSISTENCIA
73,3720,8470201,2014021198,ASSISTENCIA
74,10614,8450725,2010020024,ASSISTENCIA
75,3037,8474037,2014020089,GOL
76,5082,8475816,2015020052,ASSISTENCIA
77,4304,8474774,2014020382,ASSISTENCIA
78,5132,8476826,2017020638,GOL
79,2445,8474590,2012020007,ASSISTENCIA
80,9731,8476851,2018020555,ASSISTENCIA
81,2875,8473482,2012020669,GOL
82,2065,8470616,2013020254,ASSISTENCIA
83,9277,8477494,2018020107,ASSISTENCIA
84,1597,8471707,2012020369,ASSISTENCIA
85,11212,8473473,2010020931,GOL
86,9167,8476459,2018020006,ASSISTENCIA
87,12290,8470618,2010020053,GOL
88,11242,8473512,2011020073,GOL
89,7799,8471702,2015020685,ASSISTENCIA
90,1577,8471804,2013020433,ASSISTENCIA
91,3845,8477205,2014021095,ASSISTENCIA
92,12744,8470638,2011021169,ASSISTENCIA
93,1602,8471675,2012020369,ASSISTENCIA
94,4259,8470599,2014020907,ASSISTENCIA
95,5049,8476874,2017020051,ASSISTENCIA
96,12384,8469544,2010020193,ASSISTENCIA
97,7380,8475763,2015020246,ASSISTENCIA
98,2193,8475176,2012020136,ASSISTENCIA
99,3034,8475176,2014021096,GOL
100,7084,8474578,2016020379,GOL
101,8166,8470612,2015020755,ASSISTENCIA
102,11266,8469506,2010020401,ASSISTENCIA
103,2496,8474176,2013020888,ASSISTENCIA
104,4466,8475848,2014020053,GOL
105,7681,8473419,2016021127,ASSISTENCIA
106,8744,8474578,2016020871,ASSISTENCIA
107,10460,8468509,2010020589,ASSISTENCIA
108,11493,8462042,2010020828,ASSISTENCIA
109,11937,8473514,2010021205,ASSISTENCIA
110,10332,8473573,2018021038,GOL
111,7758,8478402,2015021011,GOL
112,4045,8470604,2014020118,GOL
113,13827,8478027,2018030131,ASSISTENCIA
114,12326,8470638,2011021014,ASSISTENCIA
115,13224,8470602,2011020324,ASSISTENCIA
116,12717,8467400,2011020646,ASSISTENCIA
117,11763,8470626,2010020478,ASSISTENCIA
118,7183,8476792,2017020377,GOL
119,1187,8473962,2013020893,ASSISTENCIA
120,13195,8469707,2010021218,GOL
121,1142,8470222,2013020926,ASSISTENCIA
122,3184,8475191,2014020172,ASSISTENCIA
123,10908,8467371,2010020446,GOL
124,12243,8467396,2010020205,GOL
125,12625,8470834,2011021194,ASSISTENCIA
126,1566,8470105,2013021084,ASSISTENCIA
127,3993,8471266,2014020959,GOL
128,8061,8476368,2017020533,ASSISTENCIA
129,76,8468434,2011030162,GOL
130,176,8473419,2010030417,ASSISTENCIA
131,9836,8475197,2018020633,ASSISTENCIA
132,13813,8470613,2018021271,GOL
133,1914,8462038,2012020019,ASSISTENCIA
134,947,8465009,2013021160,ASSISTENCIA
135,3651,8471769,2014020177,ASSISTENCIA
136,13252,8464962,2010021029,GOL
137,1471,8470595,2013020869,ASSISTENCIA
138,13853,8477341,2018030123,ASSISTENCIA
139,7592,8476419,2016021207,GOL
140,8658,8475175,2017020829,GOL
141,8336,8477505,2015020426,ASSISTENCIA
142,2688,8458590,2012020493,GOL
143,9980,8478458,2018020780,GOL
144,10987,8475166,2010021043,ASSISTENCIA
145,2592,8473962,2012020193,GOL
146,992,8476432,2013021183,GOL
147,7423,8476419,2017020044,ASSISTENCIA
148,8116,8468674,2017021049,GOL
149,12333,8466160,2010020787,GOL
150,5121,8475225,2016021114,ASSISTENCIA
151,9877,8478452,2018020651,ASSISTENCIA
152,9034,8475763,2016020148,ASSISTENCIA
153,7879,8470630,2015020630,ASSISTENCIA
154,11130,8458537,2011020608,ASSISTENCIA
155,9432,8473507,2018020298,ASSISTENCIA
156,672,8475098,2013020875,ASSISTENCIA
157,12278,8471676,2011020450,ASSISTENCIA
158,9463,8474715,2018020297,GOL
159,5560,8474600,2015020611,ASSISTENCIA
160,10105,8479407,2018020906,GOL
161,12428,8466140,2010020376,ASSISTENCIA
162,1587,8477496,2013020433,ASSISTENCIA
163,12759,8469707,2011021169,GOL
164,8616,8478420,2017021009,GOL
165,1709,8473994,2012020349,ASSISTENCIA
166,12539,8470828,2010020552,GOL
167,836,8469665,2013021217,ASSISTENCIA
168,10612,8467338,2011021137,GOL
169,11091,8466035,2010020840,ASSISTENCIA
170,2152,8459492,2012020505,ASSISTENCIA
171,6425,8476458,2015020746,ASSISTENCIA
172,5842,8479345,2017020988,GOL
173,5420,8477942,2016020073,GOL
174,13274,8470137,2010020832,ASSISTENCIA
175,1381,8466138,2013020594,ASSISTENCIA
176,685,8470110,2013021105,GOL
177,8095,8467875,2016020184,ASSISTENCIA
178,3352,8470039,2014020395,ASSISTENCIA
179,5022,8474141,2016020959,GOL
180,10206,8478463,2018020955,GOL
181,13343,8467389,2011021030,ASSISTENCIA
182,11026,8474563,2010020500,ASSISTENCIA
183,1982,8475193,2013021191,ASSISTENCIA
184,3588,8471254,2014021138,GOL
185,3288,8475160,2014020622,GOL
186,13121,8470151,2011020505,ASSISTENCIA
187,11970,8469544,2011020318,GOL
188,13725,8470595,2018021202,ASSISTENCIA
189,13028,8468542,2010020384,GOL
190,2421,8467396,2013020364,ASSISTENCIA
191,8101,8476466,2016020184,GOL
192,4893,8475166,2015020706,GOL
193,12059,8467875,2010020235,ASSISTENCIA
194,10061,8473604,2018020857,ASSISTENCIA
195,5338,8471685,2016020593,ASSISTENCIA
196,9652,8474564,2018020463,GOL
197,13208,8459670,2010021218,GOL
198,6726,8473473,2016021074,GOL
199,13370,8476177,2011020688,GOL
200,4645,8470613,2017021194,ASSISTENCIA
201,8145,8477933,2017020458,ASSISTENCIA
202,13445,8469465,2010020610,ASSISTENCIA
203,12245,8470595,2010020205,ASSISTENCIA
204,7526,8468083,2017020994,ASSISTENCIA
205,4730,8473449,2015021204,ASSISTENCIA
206,5777,8478042,2016020897,GOL
207,2147,8470543,2013020323,ASSISTENCIA
208,7365,8476960,2016020477,ASSISTENCIA
209,11205,8475182,2011020130,ASSISTENCIA
210,3452,8470230,2014020293,GOL
211,10662,8471677,2010020464,ASSISTENCIA
212,4073,8474150,2014021028,ASSISTENCIA
213,9471,8479400,2018020297,ASSISTENCIA
214,4552,8468309,2016020246,GOL
215,12636,8470039,2011021194,GOL
216,13418,8474727,2011020625,GOL
217,13756,8476871,2018021237,GOL
218,4862,8474743,2016020398,ASSISTENCIA
219,7452,8475158,2016020382,ASSISTENCIA
220,10011,8478469,2018020829,ASSISTENCIA
221,7864,8477018,2015020200,ASSISTENCIA
222,6178,8470760,2015020914,ASSISTENCIA
223,4356,8471426,2014020657,ASSISTENCIA
224,6716,8474578,2015020294,ASSISTENCIA
225,4251,8476463,2014021066,ASSISTENCIA
226,1115,8476177,2012020684,GOL
227,9653,8476292,2018020463,ASSISTENCIA
228,3544,8470187,2014020246,ASSISTENCIA
229,8641,8468486,2017020829,ASSISTENCIA
230,10364,8478458,2018021046,ASSISTENCIA
231,5729,8475754,2016020342,ASSISTENCIA
232,9117,8478550,2016021137,GOL
233,4836,8476460,2016021120,ASSISTENCIA
234,12836,8469466,2010020065,GOL
235,4320,8476177,2014020835,GOL
236,1797,8474739,2013020166,ASSISTENCIA
237,10501,8474498,2010021036,ASSISTENCIA
238,8895,8474586,2015020455,GOL
239,8717,8468083,2016020310,ASSISTENCIA
240,7989,8476906,2017021243,ASSISTENCIA
241,10127,8476902,2018020923,ASSISTENCIA
242,4432,8475728,2014021041,ASSISTENCIA
243,7400,8479974,2017021137,ASSISTENCIA
244,1030,8462042,2013020184,GOL
245,3115,8476426,2014021199,ASSISTENCIA
246,2018,8475790,2012020330,ASSISTENCIA
247,108,8471677,2010030164,ASSISTENCIA
248,84,8474102,2011030164,ASSISTENCIA
249,13302,8470047,2010020504,GOL
250,2851,8469707,2012020595,ASSISTENCIA
251,11837,8473449,2010020756,GOL
252,8724,8471233,2016020310,ASSISTENCIA
253,3085,8471794,2014020550,GOL
